district,date,month,year,visitors
Mancherial,2018-12-01,December,2018,31496
Medak ,2018-01-01,January,2018,100000
Medak ,2018-02-01,February,2018,1000000
Medak ,2018-03-01,March,2018,600000
Medak ,2018-04-01,April,2018,200000
Medak ,2018-05-01,May,2018,300000
Medak ,2018-06-01,June,2018,500000
Medak ,2018-07-01,July,2018,150000
Medak ,2018-08-01,August,2018,50000
Medak ,2018-09-01,September,2018,100000
Medak ,2018-10-01,October,2018,300000
Medak ,2018-11-01,November,2018,200000
Medak ,2018-12-01,December,2018,400000
Medchal ,2018-01-01,January,2018,0
Medchal ,2018-02-01,February,2018,0
Medchal ,2018-03-01,March,2018,0
Medchal ,2018-04-01,April,2018,0
Medchal ,2018-05-01,May,2018,0
Medchal ,2018-06-01,June,2018,0
Medchal ,2018-07-01,July,2018,0
Medchal ,2018-08-01,August,2018,0
Medchal ,2018-09-01,September,2018,0
Medchal ,2018-10-01,October,2018,0
Medchal ,2018-11-01,November,2018,0
Medchal ,2018-12-01,December,2018,0
Nagarkurnool ,2018-01-01,January,2018,228812
Nagarkurnool ,2018-02-01,February,2018,286258
Nagarkurnool ,2018-03-01,March,2018,184508
Nagarkurnool ,2018-04-01,April,2018,174592
Nagarkurnool ,2018-05-01,May,2018,183697
Nagarkurnool ,2018-06-01,June,2018,180010
Nagarkurnool ,2018-07-01,July,2018,93450
Nagarkurnool ,2018-08-01,August,2018,118010
Nagarkurnool ,2018-09-01,September,2018,118449
Nagarkurnool ,2018-10-01,October,2018,201050
Nagarkurnool ,2018-11-01,November,2018,121452
Nagarkurnool ,2018-12-01,December,2018,198637
Nalgonda,2018-01-01,January,2018,36205
Nalgonda,2018-02-01,February,2018,9971
Nalgonda,2018-03-01,March,2018,9677
Nalgonda,2018-04-01,April,2018,9779
Nalgonda,2018-05-01,May,2018,10241
Nalgonda,2018-06-01,June,2018,9066
Nalgonda,2018-07-01,July,2018,9668
Nalgonda,2018-08-01,August,2018,10135
Nalgonda,2018-09-01,September,2018,21365
Nalgonda,2018-10-01,October,2018,22332
Nalgonda,2018-11-01,November,2018,5422
Nalgonda,2018-12-01,December,2018,6777
Nirmal,2018-01-01,January,2018,480241
Nirmal,2018-02-01,February,2018,335447
Nirmal,2018-03-01,March,2018,328099
Nirmal,2018-04-01,April,2018,368645
Nirmal,2018-05-01,May,2018,342650
Nirmal,2018-06-01,June,2018,355197
Nirmal,2018-07-01,July,2018,335356
Nirmal,2018-08-01,August,2018,313910
Nirmal,2018-09-01,September,2018,293859
Nirmal,2018-10-01,October,2018,373291
Nirmal,2018-11-01,November,2018,289169
Nirmal,2018-12-01,December,2018,361461
Nizamabad,2018-01-01,January,2018,2495
Nizamabad,2018-02-01,February,2018,7152
Nizamabad,2018-03-01,March,2018,2903
Nizamabad,2018-04-01,April,2018,3550
Nizamabad,2018-05-01,May,2018,5360
Nizamabad,2018-06-01,June,2018,1761
Nizamabad,2018-07-01,July,2018,5882
Nizamabad,2018-08-01,August,2018,10525
Nizamabad,2018-09-01,September,2018,475
Nizamabad,2018-10-01,October,2018,490
Nizamabad,2018-11-01,November,2018,475
Nizamabad,2018-12-01,December,2018,355
Peddapalli,2018-01-01,January,2018,2670
Peddapalli,2018-02-01,February,2018,2695
Peddapalli,2018-03-01,March,2018,2325
Peddapalli,2018-04-01,April,2018,1940
Peddapalli,2018-05-01,May,2018,1499
Peddapalli,2018-06-01,June,2018,1580
Peddapalli,2018-07-01,July,2018,1580
Peddapalli,2018-08-01,August,2018,1595
Peddapalli,2018-09-01,September,2018,1475
Peddapalli,2018-10-01,October,2018,1545
Peddapalli,2018-11-01,November,2018,1655
Peddapalli,2018-12-01,December,2018,1695
Rajanna Sircilla ,2018-01-01,January,2018,2238074
Rajanna Sircilla ,2018-02-01,February,2018,1021787
Rajanna Sircilla ,2018-03-01,March,2018,1022669
Rajanna Sircilla ,2018-04-01,April,2018,833874
Rajanna Sircilla ,2018-05-01,May,2018,1021952
Rajanna Sircilla ,2018-06-01,June,2018,320886
Rajanna Sircilla ,2018-07-01,July,2018,937720
Rajanna Sircilla ,2018-08-01,August,2018,320952
Rajanna Sircilla ,2018-09-01,September,2018,818693
Rajanna Sircilla ,2018-10-01,October,2018,506563
Rajanna Sircilla ,2018-11-01,November,2018,840933
Rajanna Sircilla ,2018-12-01,December,2018,950128
Ranga Reddy,2018-01-01,January,2018,0
Ranga Reddy,2018-02-01,February,2018,0
Ranga Reddy,2018-03-01,March,2018,0
Ranga Reddy,2018-04-01,April,2018,0
Ranga Reddy,2018-05-01,May,2018,0
Ranga Reddy,2018-06-01,June,2018,0
Ranga Reddy,2018-07-01,July,2018,0
Ranga Reddy,2018-08-01,August,2018,0
Ranga Reddy,2018-09-01,September,2018,0
Ranga Reddy,2018-10-01,October,2018,0
Ranga Reddy,2018-11-01,November,2018,0
Ranga Reddy,2018-12-01,December,2018,0
Sangareddy ,2018-01-01,January,2018,254000
Sangareddy ,2018-02-01,February,2018,540000
Sangareddy ,2018-03-01,March,2018,158500
Sangareddy ,2018-04-01,April,2018,162500
Sangareddy ,2018-05-01,May,2018,157000
Sangareddy ,2018-06-01,June,2018,93500
Sangareddy ,2018-07-01,July,2018,108600
Sangareddy ,2018-08-01,August,2018,205000
Sangareddy ,2018-09-01,September,2018,125000
Sangareddy ,2018-10-01,October,2018,171800
Sangareddy ,2018-11-01,November,2018,160000
Sangareddy ,2018-12-01,December,2018,134000
Siddipet,2018-01-01,January,2018,253000
Siddipet,2018-02-01,February,2018,44000
Siddipet,2018-03-01,March,2018,164800
Siddipet,2018-04-01,April,2018,115000
Siddipet,2018-05-01,May,2018,165200
Siddipet,2018-06-01,June,2018,104300
Siddipet,2018-07-01,July,2018,54000
Siddipet,2018-08-01,August,2018,100000
Siddipet,2018-09-01,September,2018,55000
Siddipet,2018-10-01,October,2018,43000
Siddipet,2018-11-01,November,2018,135000
Siddipet,2018-12-01,December,2018,50000
Suryapet,2018-01-01,January,2018,0
Suryapet,2018-02-01,February,2018,0
Suryapet,2018-03-01,March,2018,0
Suryapet,2018-04-01,April,2018,0
Suryapet,2018-05-01,May,2018,0
Suryapet,2018-06-01,June,2018,0
Suryapet,2018-07-01,July,2018,0
Suryapet,2018-08-01,August,2018,0
Suryapet,2018-09-01,September,2018,0
